,doc_id,text,manu.couto1k_rels,manu.couto1k_posi,marcosfp_rels,marcosfp_posi,ezra_rels,ezra_posi,consensus,majority,consesus_doub,majority_doub,posible_consensus_1,posible_consensus_2,,"Después de perder dinero apostando, ¿has vuelto otro día para para desquitarse?"
0,224514,Entiendes Tragaperras que cuando alguien te da una patada en la espinilla y lo perdonas y te da otra y lo perdonas y se pasa años pateándote llega un momento en que andas cojeando y sangrando y que lo último que te apetece es seguir exponiéndote a la persona que te ha causado tanto daño,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
1,129925,Pero después de una ruptura sentimental que me ha dejado bastante solo he vuelto a vivir con mi madre y no consigo controlarme cuando tengo dinero lo pierdo rápidamente y he llegado a buscar dinero por toda la casa para meterlo en las apuestas,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
2,385285,Yo hace dos dias estaba que me queria morir y a las dos de la mañana con una terrible deprecion despues de perder dinero que tenia para pagar deudas entre al foro despues de no hacerlo por unas semanas y primero me puse a leer por mas de una hora tratando de enteder que es lo que me hace caer una y otra vez despues escribi mi sentir,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
3,458502,Y siguió llendo pero con menos suerte iba perdiendo y ese día lo dejo tiempo pero otro día tenía que intentarlo para que al menos pudiera sacar lo que había perdido el día anterior y así una vez y otra y otra hasta hacersele tan grande la pelota de las deudas por no llegarle con su mitad de sueldo porque la otra mitad la había perdido en ese estúpido juego y para poder llegar y pagar lo que debía ...,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
4,251786,Despues de esto yo no sé para qué quiere tanto dinero le pregunte a quien más debe y el insiste en que sólo a su jefe,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
5,342156,dalas por buenas hazte un poco más la tonta y oye pero no escuches pues como me dijo el otro día la mujer de un compañero que escribe por aquí si les escuchas en serio TE DESTRUIRA además no lo hará aposta tienes que ser muy fuerte más todavía sigue poniendo todas las medidas a tu alcance sigue pidiendo ayuda por si te has dejado algo psicológica para él para ti para los niños de atención primaria...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
6,410766,Además no son ya excusas para reventar jugando para buscarse un segundo problema al que podríamos tener,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
7,64785,El otro día después de perder una cantidad de dinero empecé a contarle a mi mujer una mentira para justificar ese gasto y ahí me derrumbé,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
8,155538,ojala y leas este mensaje antes que vayas al casino nuevamente cuando perdia iba al otro dia o el mismo con la idea de recuperar lo perdido y ahi iba de nuevo con dinero en la bolsa e ilusa de mi pensando que iba a recuperar y a ganar y resulta que llegaba con la euforia de ganarles a las maquinas y terminaba peor pues volvia a perder todo animo no te rindas cuesta morderse uno y agarrarse el otro...,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
9,81557,pero despues todo para que necesito eso,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
