,doc_id,text,manu.couto1k_rels,manu.couto1k_posi,marcosfp_rels,marcosfp_posi,ezra_rels,ezra_posi,consensus,majority,consesus_doub,majority_doub,posible_consensus_1,posible_consensus_2,,¿Ha mentido a su familia o a otras personas para ocultar el alcance de su ludopatía?
0,442115,Y tú poder demostrarle a ella a quien tanto hemos ocultado de nuestra ludopata vida que todo va a ser distinto que ya no mas mentiras,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,
1,20486,Es posible que hayas dado este paso agobiado por tus deudas Pero la ludopatía te afecta mucho más allá de en tu economía La ludopatía transforma tu percepción de la realidad Y no la ludopatía no es un síntoma de algún otro trastorno ni tampoco una consecuencia de tu insatisfacción con tu vida La ludopatía es un trastorno psicologico causado por el gran poder adictivo de los distintos juegos La lud...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
2,11791,Es posible que hayas dado este paso agobiado por tus deudas Pero la ludopatía te afecta mucho más allá de en tu economía La ludopatía transforma tu percepción de la realidad Y no la ludopatía no es un síntoma de algún otro trastorno ni tampoco una consecuencia de tu insatisfacción con tu vida La ludopatía es un trastorno psicologico causado por el gran poder adictivo de los distintos juegos La lud...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
3,37393,pero tú me llevas ventaja yo no sabía que era la ludopatía sólo me sentía el ser más despreciable sobre la tierra buscando préstamos para tapar otros préstamos descuidando el trabajo y a la familia incluso a mi persona ya ni me aseaba conservo alguna foto de aquella época con barbas descuidadas que llegaban casi hasta el suelo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
4,237858,Tienes que ser consciente de la enfermedad que tiene tu marido esta enfermedad conlleva la mentira y es habitual en ellos,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,
5,484133,Querida Maru te escribirí aqui para no tener que abrir un nuevo tema disculpa el mensaje pero creo igual que ya alguna ves te lo dije yo entiendo que la ludopatía es capaz de destruir familias por completo salud economía y mil cosas más pero porqué culpas en un 100 a la enfermedad tal vez el alejamiento de ustedes tenga que ver con otras cosas y no solo con la ludopatía tal ves él era así su forma...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
6,475942,Luego a la inversa que el sepa lo que tu estás padeciendo y los efectos que causa en los familiares la ludopatia,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
7,233258,La ludopatia ha destrozado a muchas personas no sólo al jugador sino a los seres queridos nosotros no somos culpables de nuestra enfermedad pero si responsables de nuestra recuperación y si dicha abstención y recuperación debemos hacerla sólos pues adelante si lo hacemos con el apoyo de nuestra familia mejor pero la mayoria de los pasos debe hacerla el jugador pero repito con honestidad mente abie...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
8,233261,la ludopatia es una enfermedad que trastorna todos nuestros valores como persona y los anula por lo tanto entiendo perfectamente que hayas decidido romper esa relacion si no te encuentras con fuerza para continuar es lo mejor para los dos se que es muy dificil despertarse y ver que el principe encantado se ha combertido en sapo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
9,340013,A mi esa reflexión de por qué mentia por qué ocultaba es lo que me hizo comprender que aparte de regalar mi dinero a gente más lista que yo gente que pasa todo el día pensando como hundirme con ánimo de lucro mentia y ocultaba para seguir haciendolo,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
10,453167,Bienvenida fortaleza si su pareja no reconoce el problema es muy dificil hacer algo si habla de llaves o sistemas de controlar el azar es la mente de una persona enferma en pleno funcionamiento y está muy equivocado la ludopatia frecuentemente arrastra a familias enteras a la ruina tenga cuidado,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
11,353844,La ludopatia no sigue ese curso en su desarrollo se manifiesta comunmente con fases de control y represión intentos de abandono y recaidas recurrentes con aumentos más o menos prolongados de las dosis para que entiendas la naturaleza adictiva de este comportamiento y por supuesto tampoco es genético y ni lo uno ni lo otro tienen ninguna relación con poder mantener la abstinencia solos no veo el hi...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
12,160569,solo haces preguntas y preguntas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
13,25914,La ludopatía va más allá que el jugar La ludopatía nos hace irracionales El ludopata con fuerza de voluntad puede estar un tiempo sin jugar pero manteniendo una lucha interna buscando alguna excusa para jugar He conocido gente que han jugado más de lo debido y no han desarrollado la adicción de modo que de repente han dejado de jugar sin más El ludopata tiene que reeducar su mente El ludopata si j...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
14,51002,la ludopatia no es perder o ganar Puedes perder mucho y no ser ludopata Yo no sé si tú eres ludopata Si eres ludopata te estás equivocando la ludopatía es demasiado fuerte para vencerla como tú pretendes Tal vez no seas ludopata y solo has tenido un periodo de ofuscación que te ha provocado tu situación Pero si eres ludopata morirás ludopata la ludopatía no se cura Pero con un buen tratamiento apr...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
15,51006,la ludopatia no es perder o ganar Puedes perder mucho y no ser ludopata Yo no sé si tú eres ludopata Si eres ludopata te estás equivocando la ludopatía es demasiado fuerte para vencerla como tú pretendes Tal vez no seas ludopata y solo has tenido un periodo de ofuscación que te ha provocado tu situación Pero si eres ludopata morirás ludopata la ludopatía no se cura Pero con un buen tratamiento apr...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
16,320836,Hay personas que son mas orgullosas cuanto menos orgullo tienen ya sabes tapar mentiras con otras mentiras que el reconozca lo que es es el primer paso,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
17,498501,Otros implicados en el mantenimiento de la ludopatía Debido al importante papel que en nuestro país juega la institución familiar los padres del jugador también se ven especialmente afectados y como ellos el resto de miembros de la familia hermanos hijos de hecho en un principio algunos jugadores recurren más a los padres que a su cónyuge para que no se entere con el interés de ocultar y resolver ...,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
