,doc_id,text,manu.couto1k_rels,manu.couto1k_posi,marcosfp_rels,marcosfp_posi,ezra_rels,ezra_posi,consensus,majority,consesus_doub,majority_doub,posible_consensus_1,posible_consensus_2,,¿Ha pedido ayuda a otras personas para que le proporcionen el dinero necesario para aliviar una
0,16641,Te sugiero que si sientes esa necesidad de hacer algo contactes con las entidades que realizan labores sociales en la isla y te ofrezcas a colaborar,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,situación financiera desesperada causada por el juego?
1,66053,quien queda,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
2,160519,Pon las medidas prebentivas desde ya como escudo y pude ayuda antes que pedir dinero p es mas sanoara jugar,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
3,137352,Le he pedido ayuda a mi marido muchas veces pero me parece que se cansó ya no es ni siquiera firme apenas le pido mis tarjetas de crédito me las da,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
4,208392,he pedido ayuda pero siempre consigo dinero para jugar,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
5,151306,cat ajustarse a ellas en la medida de lo posible les ayuda a recuperar la conciencia necesaria para frontar con éxito su rehabilitación Para aquellos cuya situación familiar y de amistades sea tan nefasta que no encuentren a nadie de confianza para realizar el control del dinero les recuerdo que existen los servicios sociales que pueden ejercer ese control aunque cada país tenga sus característica...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
6,136715,Para escuchar las experiencias de otras personas es de gran ayuda saber que hay gente que un Dia derrochaba el dinero en el juego con las correspondientes consecuencias y que ahora ya rehabilitados pueden llevar una vida normal que es lo que yo quiero mi adicción me esta condicionando mucho mi vida,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
7,163469,Actualmente y desde hace tiempo manejo dinero en las cantidades que sean necesarias sin ningun problema y con todo el rigor que deseo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
8,349199,Referente a los hermanos penosos he pedido ayuda y la habeis negado puedes decir lo que quieras ayudar no es tener lastima os habeis reido de mi y de él,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
9,220560,Necesidad de pedir dinero prestado para sobrevivir debido a las pérdidas ocasionadas por el juego,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,
10,392208,Pedir ayuda fuera del foro bien a familiares o a profesionales ya que aqui ayudamos pero un apoyo fisico una presencia te ayudara muchisimo mas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
11,115986,el juego juego es y el que pueda jugar controladamente hace bien en emplear su dinero y su tiempo en lo que mejor le parezca pero el ludopata no puede jugar porque pierde todo control juega convulsivamente y deja otras actividades por el descontrol del juego no hay que demonizar al juego otro tema distinto es la agresividad que emplean los empresarios del juego para atraer clientes de todas folma ...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
12,256531,La medida preventiva plantea llevar el dinero necesario ni me abusen del poder de hacer el control del dinero ni cedan a llevar un dinero que no sea necesario cuando hay otras soluciones y sobretodo NO PERMITAN QUE LA AUTOESTIMA Y EL CONCEPTO DE UNO MISMO ESTÉ CONDICIONADO POR EL DINERO QUE SE LLEVA ENCIMA O POR EL QUE SE PUEDA ACCEDER O POR EL QUE SE PUEDA ACUMULAR es darle demasiada cancha a la ...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
13,353045,No te ha pedido ayuda pero tampoco te ha pedido dinero así que nuevamente estás de suerte,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
14,261911,Me queda una duda,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
15,480668,Necesidad de pedir dinero prestado para sobrevivir debido a las pérdidas ocasionadas por el juego,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,
16,170399,Hola quisiera compartir con ustedes que soy un ludopata aunque me costo mucho trabajo darme cuenta por fin he caido en la cuenta que necesito ayuda y mucha debo mucho dinero a causa del juego he desaparecido mi vida social y espiritual y creo que estoy a punto de perder a mi familia soy una persona muy luchadora he tenido grandes logros en mi vida y tengo grandes responsabilidades todo eso se ha q...,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
17,6432,Evita pedir dinero a otras personas para pagarlas puesto que eso formaría un círculo vicioso nada positivo para tratar la ludopatía,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
18,47138,Necesito el dinero como sea sino la deuda me aumentara y el coche necesito pagar la cuota,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
19,412453,Por eso he pedido ayuda por eso no tengo mis tarjetas y tengo que pedir y explicar para qué es el dinero cuando lo necesito,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
20,188584,Buenas noches a todo el mundo hace un año que estoy con mi actual pareja desde el primer dia ha echo cosas muy raras como desaparecer sin la menor explicacion y volver otra vez como si nada lo que me llevo a creer que tenia a otra persona que casi que lo hubiese preferido a tener que ver que era otro el problema que tiene desde que lo conozco es una persona a la que le ha importado mucho el dinero...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
21,471337,Ha dependido usted en otras personas por ejemplo familia amigos o trabajo para que le provean dinero para cubrir sus deudas relacionadas con el juego,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
22,238122,Mi nvio por fin a reconocido que tiene un problema con el juego es ludopata y me h pedid ayuda es un gran paso para e xq es una persona muy reservada slo ha sido capaz de cofesarmelo a mi tengo miedo de no poder ayudarle correctamente de momento lo unico que se nos ha ocurrido es que me dara su targeta su dinero y su cartilla con las contraseñas hasta que tenga autocontrol pro no se que mas puedo ...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
23,42411,Yo ahorraba el dinero porque quería comprar un ordenador nuevo de mesa que cuesta unos 900 euros pues mi lado ludópata volvió a aparecer con el dinero que me daban quería ganar algo de dinero en las apuestas para comprar el ordenador antes pero perdí las apuestas y perdí el dinero pues claro quería recuperar el dinero perdido y lo que hago es perder aún más les dije a mis padres que quería comprar...,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
24,494253,Se confía en que los demás proporcionen dinero que alivie la situación financiera causada por el juego,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
25,115118,Los que hemos dedicado toda una vida a sufrir por el juego y encontramos un camino para dejar de sufrir hemos tenido que hacer grandes esfuerzos desde muchos ámbitos desde pedir ayuda a la familia porque solos es muy dificil salir de esto hasta entregar el control de nuestro dinero a una persona de nuestra confianza y pasar por asociaciones donde hemos aprendido a lidiar con la adicción,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
26,436014,Por lo de mi hermano si me dice cuando juega por que no le queda otro remedio por que le cerre todos los caminos para sacar dinero aparte save que si a mi me la juega no le queda nadien mas que quiera ayudarle pero el save que si juega con el dinero que le doy para salir el fin de semana y se lo juega se queda sin salir por que no le doy mas y eso parece que le hace pensar un poco y parece que cad...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
27,60469,Y una duda que se me ha planteado,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
28,100022,A la perdida del dinero mi amigo hay que hacerle un duelo pero duelo serio acompañado de muchas razones y pocas emociones que nos permitan realmente abandonar esa terca obsesión por recuperar y eso debe ser con ayuda externa con historias de otros perdedores que nos medio muestren como hicieron ellos para desistir y realmemte darle cristiana sepultura a esa cantidad de dinero que ya cuando lo perd...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
29,465078,por otro lado es cierto que el juego ha acaparado toda nuestra vida el tiempo que pasamos jugando mas el que pasamos resolviendo los problemas causados por el juego se han apropiado de nuestra vida haciendo que otros multiples problemas pasaran a segundo plano lo cual ha ido causando graves daños a nuestro entornos daños muchos de ellos irreparables y al dominar el tema del juego nos encontramos c...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
30,19257,decidido irremediablemente a poner punto y final le entregué la tarjeta a mi hija no me la des aunque te la pida si necesito dinero vienes tú conmigo lo sacamos y te la llevas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
31,269242,En que si la posibilidad me diera dinero la maquina seria un dinero que se ha dejado otra persona y que ese dinero es el que le hacia falta para pasar el mes que es dinero manchado de lagrimas sufrimiento fin de ilusiones y familias y no no quiero un dinero a si de manchado me conformo con el poco dinero que tengo en mi bolsillo y de poner mañana un dia mas sin juego esa es mi felicidad,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
32,80443,AYÚDALE A EVITAR SITUACIONES PELIGROSAS Aunque una persona esté muy convencida y motivada para dejar el juego puede haber ciertas situaciones en las que se le haga extremadamente complicado evitar el juego,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
33,238526,No creo que necesites dinero para hablar con tu familia y amigos y decir soy ludópata y necesito ayuda,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
34,252990,Toma nota de lo que te está ocurriendo y por favor rectifica pide ayuda asociaciones hay muchas no pasa nada por reconocer que tienes un problema si lo dejas creo que cada vez irás más a menudo a jugar pensando en que puedes recuperar el dinero gastado ó parte de ello y eso no sucede lo perdido,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
35,205123,mientras sigas pudiendo financiarte el juego lo tienes muy dificil,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
36,147273,sobre la hipotética idea de que SABER cuando parar hace que SÍ se gane dinero incentivando con ello la ilusión de aquellas personas que desesperadas por su ruina económica y personal entran en el foro buscando ayuda o quizás me equivoco y otra supuesta pretensión pueda ser hacer SABER a esas mismas personas las enormes cantidades a las que pueden optar en una sola noche de la mal llamada buena su...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
37,65993,Pide ayuda a toda aquella persona que pueda prestártela de corazón y ponte manos a la obra en hacer que el juego deje de formar parte de tu vida,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
38,449232,No es necesario que otras personas te lo digan para creerlo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
