1,265216,No relevante
1,92161,No relevante
1,68608,No relevante
1,483331,Relevante
1,130052,Relevante
1,114693,Relevante
1,304131,"No relevante
Explicación: No se refiere a que el escritor piense en el juego"
1,377863,Relevante
1,345099,Relevante
1,346124,No relevante
1,139282,"No relevante
Explicación: No se refiere a un estado individual, es solo una recomendación"
1,79894,No relevante
1,43035,Relevante
1,441373,No relevante
1,379935,No relevante
1,139302,Relevante
1,41001,No relevante
1,381996,No relevante
1,197679,No relevante
1,200764,Relevante
1,260156,No relevante
1,325694,Relevante
1,368706,No relevante
1,494662,No relevante
1,390215,Relevante
1,489546,No relevante
1,17485,Relevante
1,41039,Relevante
1,365651,No relevante
1,394325,"Relevante
Explicación: Describe cómo el juego ocupa todos los pensamientos y actividades del individuo"
1,154719,No relevante
1,65632,Relevante
1,253029,Relevante
1,243817,"Relevante 
Explicación: Muestra una persona que está constantemente pensando en el juego"
1,348268,Relevante
1,485488,Relevante
1,348272,Relevante
1,436338,Relevante
1,30838,"Relevante
Explicación: Muestra evidencia de que alguien está pensando a menudo en el juego"
1,241786,Relevante
1,365692,Relevante
1,186494,Relevante
1,394372,Relevante
1,164999,Relevante
1,272525,No relevante
1,367764,No relevante
1,458903,Relevante
1,356504,No relevante
1,409754,No relevante
1,389277,No relevante
1,109726,Relevante
1,375970,No relevante
1,362659,No relevante
1,53410,Relevante
1,362661,No relevante
1,21669,Relevante
1,497830,"No relevante
Explicación: Referencia al escritor y no a otra persona"
1,226472,Relevante
1,398498,Relevante
1,61610,Relevante
1,301230,"No relevante 
Explicación: No se refiere a apostar

Pregunta: ¿Se ha encontrado a menudo pensando en el juego (por ejemplo, reviviendo experiencias de juego pasadas, planeando la próxima vez que jugar o pensando en formas de conseguir dinero para jugar)?
Oración: Se pasa muchas horas pensando en el juego antes de ir a jugar
Etiqueta: 
Relevante
Explicación:"
1,21679,Relevante
1,486577,Relevante
1,106675,Relevante
1,348350,Relevante
1,348354,Relevante
1,471241,"No relevante
Explicación: No se refiere a pensar en el juego"
1,333002,Relevante
1,457933,No relevante
1,209,Relevante
1,145623,No relevante
1,3292,"Relevante
Explicación: Muestra evidencia de que un individuo tiene ese problema"
1,471262,"No relevante
Explicación: No se refiere a un estado individual, es solo un consejo"
1,213215,Relevante
1,367845,No relevante
1,387304,Relevante
1,269545,"No relevante 
Explicación: No se menciona el juego"
1,101610,"No relevante
Explicación: Es una explicación de que una persona no se considera adicta al juego si juega de una manera concreta. Por lo tanto, no hay evidencia de alguien que sufra este criterio."
1,269546,No relevante
1,206068,Relevante
1,447733,Relevante
1,376056,No relevante
1,120060,No relevante
1,122110, Relevante
1,240898,No relevante
1,352519,Relevante
1,471303,No relevante
1,471307,Relevante
1,154891,"No relevante
Explicación: No se refiere a que un grupo de población tenga un problema"
1,120081,No relevante
1,115986,Relevante
1,96535,Relevante
1,280855,No relevante
1,106778,Relevante
1,32027,No relevante
1,471325,Relevante
1,9502,Relevante
1,96545,"No relevante 
Explicación: No está relacionado con pensar en el juego, sino en el financiamiento del juego"
1,283939,Relevante
1,91428,Relevante
1,21797,No relevante
1,18728,Relevante
1,96554,"Relevante
Explicación: Muestra evidencia de que un individuo está pensando en medios ilegales para financiar el juego"
1,46383,Relevante
1,256304,Relevante
1,102708,Relevante
1,279861,Relevante
