2,359429,No relevante
2,345095,Relevante
2,1035,"No relevante
Explicación: El texto no menciona apostar cada vez más dinero"
2,51211,No relevante
2,83983,"No relevante
Explicación: No se refiere al juego"
2,370705,"No relevante
Explicación: No se refiere al escritor sino que es una recomendación"
2,103448,Relevante
2,216090,"No relevante
Explicación: No se refiere a un estado individual, es solo un consejo"
2,487455,Relevante
2,216095,Relevante
2,47138,Relevante
2,116775,"No relevante
Explicación: No se refiere a una persona individual"
2,365611,No relevante
2,490545,**No relevante**
2,318519,No relevante
2,321594,Relevante
2,200764,Relevante
2,260162,"No relevante
Explicación: No se refiere a que primero gastaba dinero y después necesita gastar más"
2,35909,"No relevante
Explicación: Es un consejo para alguien que sufre un problema de juego"
2,231496,No relevante
2,489547,Relevante
2,120909,Relevante
2,336973,Relevante
2,110669,"No relevante 
Explicación: No se refiere a necesitar apostar más y más dinero"
2,215118,No relevante
2,122961,Relevante
2,165970,"No relevante
Explicación: Esta oración no trata sobre alguien que está experimentando el problema del criterio de diagnóstico del juego patológico de necesitar apostar cada vez más dinero para obtener la misma emoción."
2,270423,"No relevante 
Explicación: No se refiere a un problema de adicción al juego"
2,90200,"No relevante
Explicación: No se refiere a la pregunta"
2,54366,"No relevante
Explicación: No se sabe si es una recomendación o alguien que realmente dice que cada vez gasta más dinero"
2,463968,Relevante
2,28775,Relevante
2,486509,Relevante
2,330862,No relevante
2,119920,No relevante
2,325745,No relevante
2,113778,"No relevante
Explicación: No se refiere a apostar cada vez más"
2,61562,"Relevante
Explicación: En este caso es relevante porque aporta sugerencias específicas para alguien que lucha contra la adicción al juego."
2,113787,No relevante
2,314496,No relevante
2,464001,"No relevante
Explicación: No se refiera a un aumento en las cantidades apostadas"
2,494723,"No relevante
Explicación: No se refiere a un individuo apostando cada vez más dinero"
2,36998,Relevante
2,78984,Relevante
2,104585,Relevante
2,367753,"No relevante
Explicación: No se refiere a un individuo, es solo una pregunta teórica."
2,126091,"Relevante
Explicación: Muestra evidencia de que hay un grupo de población que tiene ese problema"
2,121996,"No relevante
Explicación: No se refiere al estado individual, es solo una discusión general de la publicidad de juegos de azar"
2,165002,No relevante
2,237704,Relevante
2,259219,Relevante
2,472212,"No relevante
Explicación: No hay evidencia de que el escritor esté apostando cada vez más"
2,6298,Relevante
2,34973,"No relevante
Explicación: No revela si el individuo tiene que apostar cada vez más dinero"
2,41118,"No relevante
Explicación: No se refiere a alguien que realmente tenga el problema"
2,383133," No relevante
Explicación: No se menciona nada sobre apostar cada vez más dinero"
2,463005,Relevante
2,208042,"Relevante
Explicación: Muestra evidencia de que una persona tuvo una experiencia de euforia después de ganar una gran cantidad de dinero y gastarlo en compras, lo que puede ser un signo de juego patológico."
2,490671,"No relevante
Explicación: No se refiere a un individuo con un problema de juego"
2,270515,No relevante
2,7349,"No relevante
Explicación: No es relevante para la pregunta"
2,170173,No relevante
2,215231,Relevante
2,262335,Relevante
2,378051,"No relevante
Explicación: Se trata de un consejo general, no de un ejemplo específico sobre el que ha necesitado apostar más y más dinero para obtener el nivel de emoción que busca."
2,136388,No relevante
2,439498,No relevante
2,202960,Relevante
2,264400,"No relevante
Explicación: No se refiere a nadie en concreto, sino a una creencia popular sobre las máquinas tragaperras."
2,471248,No relevante
