,doc_id,text,manu.couto1k_rels,manu.couto1k_posi,marcosfp_rels,marcosfp_posi,ezra_rels,ezra_posi,consensus,majority,consesus_doub,majority_doub,posible_consensus_1,posible_consensus_2,,¿Se ha vuelto inquieto o irritable al intentar reducir o dejar de jugar?
0,434950,No intentes recuperar jamás lo que perdiste volviendo a jugar,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
1,474374,En mi caso yo creía que no tenía pero cuando dejaba de jugar durante varios días aunque no tuviera ganas conscientes de jugar mi humor cambiaba me mostraba irritable,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
2,10760,Consigo dejar de jugar y además me conciencio de que no puedo jugar jamás pero no dejo de pensar en que podría jugar si consiguiera tener un poco de control acabo autoconvenciendome que no podría jugar con control y no juego a pesar de esos pensamientos Y pasan meses y sigo sin jugar pero a menudo divago sobre la posibilidad de jugar exporadicamente y a pesar de eso no juego Estoy rehabilitado,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
3,220553,Haber tenido muchos intentos infructuosos por jugar menos o dejar de jugar,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
4,220554,Sentirse inquieto o irritable al tratar de jugar menos o dejar de jugar,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
5,498826,Quizás se deba aprender a dejar de jugar o quizás se deba aprender a jugar Jugar puede ir bien o mal siempre va mal Para aprender a dejar de jugar si que hay que esforzarse y si lo consigues te sentiras feliz habras remos conseguido algo que queriamos hacer que nos iba mal nos hacia mucho daño Para aprender a jugar para eso ya sabes que no hay que esforzarse nada hay se esfuerza el Sr Cirsa o los ...,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
6,437004,que jugaste o que no jugaste,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
7,417548,Y noto cambios en mí estoy mas irritable menos tolerante más introvertido,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
8,309132,Tengo 23 años y hace aproximadamente unos 2 años que conocí el mundo del juego y las apuestas por internet en más de una ocasión he intentado dejarlo pero al final siempre he vuelto a jugar se que soy ludópata lo reconozco pero aún así ahora sólo tengo un objetivo en la vida,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
9,50063,Mira el dejar de jugar temporalmente es algo que casi todos los que pasan por aquí consiguen con medidas y sin ellas El principal problema es conseguir concienciarse de la incapacidad que tenemos ante el juego Es muy difícil después de estar cierto tiempo sin jugar con o sin medidas asimilar nuestra incapacidad ante el juego Tendemos a pensar que si estamos en una situación estable y sabiendo lo q...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
