,doc_id,text,manu.couto1k_rels,manu.couto1k_posi,marcosfp_rels,marcosfp_posi,ezra_rels,ezra_posi,consensus,majority,consesus_doub,majority_doub,posible_consensus_1,posible_consensus_2,,"¿Has jugado para escapar de los problemas o cuando te sientes se siente deprimido, ansioso o mal"
0,199298,Tengo o he tenido deudas por el juego NO Tengo ganas de jugar cuando no lo hago SOLO CUANDO ESTOY MUY NERVIOSA SI Tengo deseos de JUGAR cuando no trabajo en mis días libres en vacaciones NO Juego de forma compulsiva en ese momento SI Me siento mal cuando juego SI Quiero dejar de jugar A veces no le doy importancia a jugar Me crea conflicto interno en mi vida diaria al jugar SI Me preocupa recaer ...,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,consigo mismo?
1,156931,Llevas ya algún tiempo sin jugar y como verás has sido capaz de seguir a pesar de soledad depresión y problemas familiares,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
2,297732,No has sido tu sinó tu problema que te tuerce la voluntad,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
3,389767,Preocupación frecuente por jugar Existe la necesidad de aumentar la magnitud o la frecuencia de las apuestas para conseguir la excitación deseada Intentos repetidos sin éxito para controlar reducir o parar el juego Intranquilidad o irritabilidad cuando se intenta reducir o parar el juego El juego como estrategia para escapar de problemas o para mitigar un estado de ánimo deprimido o disfórico Desp...,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
4,338951,Pero cada día intenta superar esos miedos alejándote del juego no te refugies en el cuándo tengas problemas alguien como tu puede buscar cosas bellas que hacer,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
5,218759,En ocasiones juegas para evadirse de situaciones estresantes para ti,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
6,30730,Te sientes solo pero no estás solo es tu estado de ánimo el que te hace creerlo así,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
7,220555,Jugar para escapar de los problemas o de sentimientos de tristeza o ansiedad,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
8,10760,Consigo dejar de jugar y además me conciencio de que no puedo jugar jamás pero no dejo de pensar en que podría jugar si consiguiera tener un poco de control acabo autoconvenciendome que no podría jugar con control y no juego a pesar de esos pensamientos Y pasan meses y sigo sin jugar pero a menudo divago sobre la posibilidad de jugar exporadicamente y a pesar de eso no juego Estoy rehabilitado,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
9,498826,Quizás se deba aprender a dejar de jugar o quizás se deba aprender a jugar Jugar puede ir bien o mal siempre va mal Para aprender a dejar de jugar si que hay que esforzarse y si lo consigues te sentiras feliz habras remos conseguido algo que queriamos hacer que nos iba mal nos hacia mucho daño Para aprender a jugar para eso ya sabes que no hay que esforzarse nada hay se esfuerza el Sr Cirsa o los ...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
10,389774,Durante esta etapa muchos jugadores buscan ayuda para salir de su problema aunque otros no pudiendo llegar en muchos casos a la etapa de desesperanza o abandono en donde el jugador no cree que exista una solución a su problema percibiéndose como un caso perdido Durante esta etapa o la anterior el jugador puede entrar en una etapa denominada como de aceptación en donde admitirá la existencia de su ...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
11,226447,quiero dejar de jugar quiero dejar de jugar quiero dejar de jugar quiero dejar de jujar quiero dejar de jugar quiero dejar de jugar quiero dejar de jugar quiero dejar de jugar quiero dejar de jugar,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
12,132747,Sí de los problemas económicos que tiene la sociedad,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
13,357372,Si no escucho mis propios sentimientos nadie lo hará por mí,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
14,296468,él mismo se dará cuenta un día déjale claro que cuando quieras hablar del tema puede contar contigo y con tu apoyo a mí me sirve que alguien me brinde su apoyo y me escuche en mi caso me di cuenta de la realidad a los 4 o 5 meses y lloré al verla ojalá tu pareja se vea a él mismo desde fuera como me veo yo me cuesta asumir que es una enfermedad prefiero llamarle problema pero cada persona tiene su...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
15,297238,El problema es que yo aparte de mi sueldo que para unchaval de 20 años no se puede considerar pequeño unos 1200 aproximadamente tengo otros ingresos de otras fuentes no penseis mal no es de dorgas ni de robos ni nada por el estilo si no que por otros medios cada fin de semana gano unos 100 200 facilmente con una actividad relacionada con el fútbol por eso al verme con bastante idnero jugaba algo p...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
16,480663,Jugar para escapar de los problemas o de sentimientos de tristeza o ansiedad,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
17,138776,La sensación de impotencia que te da el juego luego al menos a mi se traduce en depresión,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
18,62233,veras como te sientes mejor lo hablas sin ninguna vergüenza es mas yo dentro del drama puedo terminar hasta bromeando entre amigos y creo que es muy importante cuando tu te veas que puedes hablarlo a TODO el mundo e incluso reirte de ti mismo y de tu problema puedes empezar a superarlo pero no vivas con el miedo que no se entere nadie y me escondo para jugar no amigo es mucho peor comentalo a toda...,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
19,83737,No escarmentamos jugamos con fuego y nos quemamos Yo provocaba disputa con mi pareja inconcientemente para tener excusa e irme a jugar No suelo entrar en tus ultimos hilos porque creo que mi opiniones pueden desanimarte ya que creo que te equivocas en mucho pero no lo se y si no te estas equivocando mis comentarios pueden desanimarte Ahora lo hago porque el disponer de ese dinero es una gran irres...,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,
20,168987,Decía que era un lastre para mi madre porque le vengo costando unos 1200 euros mensuales ultimamente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
21,85789,Mientras jugamos no nos sentimos como un niño indefenso las primeras jugadas dan sensación de control y que la recompensa será mucho más grande que lo jugado,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
22,138526,No hay esperanza no hay salida no creo tener perdon de Dios a quien tantas veces le incumpli mis promesas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
23,85790,Nos sentimos indefensos cuando prolongando muchas jugadas comprobamos que esa falacia de control nos ha hecho tragar saliva viendo que la situación se nos ha ido de las manos y comprobamos con angustia que no hay vuelta atrás que hemos sido muy torpes y se nos vienen a la cabeza multitud de sensaciones y planificaciones para salir del apuro cómo justificar ese gasto cómo reponer ese dinero dilapid...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
24,269344,No esperes a que desaparezca el deseo de jugar pues eso no va a ocurrir quizas te levantes un dia y no sientas el minimo deseo de jugar pero te aseguro que vuelve en verdad es que siempre está ahi por eso tenemos que autoobligarnos a no jugar pero sabiendo que si queremos jugar jamas intentes dejar de sentirte jugador aun en los momentos que no sientas el minimo deseo de jugar sigue admitiendo que...,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
25,296097,O SI NO TE DICEN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
26,97571,hola Paco y si te sientes culpable cual es el problema es logico que te preguntes que hubiera ocurrido si no hubieras estado jugando y esa pregunta te pueda mortificar eso demuestra que eres una persona nueva con sentimientos seguro que si siguieras jugando te hubiera importado una M lo que pasara a tu alrrededor Paco ahora antepones el tu al yo eso es evolucionar eso es estar rehabilitado un abra...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
27,122916,Ten en cuenta una cosa seguramente ella sea consciente del problema otra cosa es que ya no quiera saber nada de curarse los ludopatas nos solemos culpar y mucho estamos deprimidos y supongo que cuando llevas mucho tiempo jugando te haces asi agrio sin sentimientos ya no te importa si pierdes o ganas haces una barrera para la malo que conlleva el jugar y asumes el juego como parte de tu vida,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
28,30254,Sigues jugando porque no lo quieres dejar Un psicólogo te puede decir muchas cosas de tu comportamiento que tú desconoces y unas pautas que no sigues para ir de putas y jugar tú si estás violando mujeres o te piensas que te vana a decir que están por gusto la vida fácil es estarse acostando con todo tipo de asqueroros,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
29,205615,Después de jugar viene la segunda parte y es que nos mientes constantemente nos metes unosrollos que ni tu mismo cuando nos los estás contando te lo puedes creer El dinero no está para malgastarlo en el juego pues lo único que se hace es enriquecer a otros y arruinar familias y no sólo economicamente ya que para un Adicto al juego una máquina es más importante que su familia y que él mismo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
30,480815,Durante el último mes he tenido problemas muy graves me he jugado el dinero de mi salario completamente los dos últimos meses cuando estaba en la mesa jugando me olvidé de mis cuentas y obligaciones no me acordaba de nada me he sentido muy mal y deprimido cuando empecé a jugar en los casinos hace 7 años me sentía muy bien y tenía mucho control 7 años después ya no tengo ese control actualmente mi ...,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
