,doc_id,text,manu.couto1k_rels,manu.couto1k_posi,marcosfp_rels,marcosfp_posi,ezra_rels,ezra_posi,consensus,majority,consesus_doub,majority_doub,posible_consensus_1,posible_consensus_2,,"¿Se ha encontrado a menudo pensando en el juego (por ejemplo, reviviendo experiencias de juego"
0,471426,Haga una lista de las cosas que usted disfrutaba antes de que el juego se convirtiera en una parte de su vida,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"pasadas, planeando la próxima vez que jugar o pensando en formas de conseguir dinero para jugar)?"
1,483331,una ves J L me dijo en un menasaje que yo pensaba mucho en el juego me quedó gravado eso y tiene razón pasa que estoy viendo que tengo demasiada actividad física y poco mental el tener mi cabeza libre de pensamientos da lugar a pensar tonterías el lunes pasado hize una lista de todas las cosas que iva a hacer en la semana y las hize todas sin dejar ninguna y pueden creer no me acordé del juego,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,
2,220551,Pasar mucho tiempo pensando en el juego como experiencias pasadas o formas de conseguir más dinero con que jugar,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
3,164999,pero a su vez estar pensando en situaciones relacionadas con el juego,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
4,321161,pensador entiendo por felicidad nada que tenga que ver con el frenesí sino con la idea de no hacer lugar al sufrimiento autoinfringido como el juego compulsivo que es pura pérdida de lo que se te ocurra el límite de una vida es obviamente la muerte el límite de un jugador compulsivo es quedarse sin dinero para apostar,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
5,10760,Consigo dejar de jugar y además me conciencio de que no puedo jugar jamás pero no dejo de pensar en que podría jugar si consiguiera tener un poco de control acabo autoconvenciendome que no podría jugar con control y no juego a pesar de esos pensamientos Y pasan meses y sigo sin jugar pero a menudo divago sobre la posibilidad de jugar exporadicamente y a pesar de eso no juego Estoy rehabilitado,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
6,345099,Hola Manel muy ciertas las palabras que dices leyendote me he dado cuenta que si acordarme del juego solo cuando tengo dinero encima ya sea consiente o inconsientemente la idea de jugar vuelve a la mente y ahí comieza la lucha interna entre jugar o no jugar poniendo en un lado de la balanza lo prioritario que son cosas como las deudas comida gastos diarios etc y por el otro lado de la balanza siem...,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
7,48908,En cuanto a juegos de mesa o otros juegos donde no haya dinero de por medio Hemos debatido algunas veces Mi caso concreto se da la circunstancia de que cuando juego con mis nietas a algún juego no me causa trastorno alguno En cambio cuando he jugado a la consola o en alguna ocasión con amigos a algún juego de mesa si me ha causado Poblema me resultaba muy incómodo dejar de jugar sobre todo a la co...,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
8,68110,No es dinero es un juego para después de trabajar relajarse socialmente Un ludópata irá a un cajero a un banco a donde sea Soy ludópata Fénix13 en proceso de rehabilitación y con la intención de pagar todas mis deudas económicas aunque no recupere un duro por abusos bancarios Bastante abuso le di yo a los bancos para ir a jugar Si no tenía dinero lo buscaba y lo encontraba Juegas a los dados y lue...,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
9,115986,el juego juego es y el que pueda jugar controladamente hace bien en emplear su dinero y su tiempo en lo que mejor le parezca pero el ludopata no puede jugar porque pierde todo control juega convulsivamente y deja otras actividades por el descontrol del juego no hay que demonizar al juego otro tema distinto es la agresividad que emplean los empresarios del juego para atraer clientes de todas folma ...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
10,480659,Hay preocupación por el juego pasa mucho tiempo pensando en el juego como experiencias pasadas o formas de conseguir más dinero con que jugar,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
11,367764,por un enfado,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
