,doc_id,text,manu.couto1k_rels,manu.couto1k_posi,marcosfp_rels,marcosfp_posi,ezra_rels,ezra_posi,consensus,majority,consesus_doub,majority_doub,posible_consensus_1,posible_consensus_2,,¿Ha necesitado apostar cada vez más dinero para conseguir la cantidad de emoción que busca?
0,121602,La entereza con que planteen al jugador los objetivos y medidas a seguir deben ir acompañadas con la comprensión de las reacciones que tiene el jugador poniéndose emocionalmente en su situación no sirve de nada hacer planteamientos de si me quisieras no jugarías es necesario demostrar respeto como personas que son mientras se ofrece el apoyo para hacer lo necesario que mantenga la abstinencia en j...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
1,359429,Para empezar debes manejar muxísimo dinero porque yo q no soy jugadora y tengo una economía más o menos solvente no he llevado jamás esa cantidad de dinero encima,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
2,160262,En definitiva tú lo has dicho lo de poder ganar es pura fantasía una fantasía cara y no solamente en dinero,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
3,429445,yo opino igual el dinero dentro de lo que cabe no es lo mas importante es mucho peor la perdida de dignidad de confianza el mentir a la gente que te quiere el dinero solo es dinero y la verdad ahora mismo estoy sin nada de dinero y de todo no es lo que mas me preocupa lo que deverdad me preocupa es estar bien con mi novia y mi familia dejar de mentir y de hacerles daño big boss 3 dias sin jugar,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
4,220552,Necesidad de apostar cantidades cada vez más grandes de dinero para sentir excitación,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
5,104585,Empezare con apuesta minima y terminare con maxima Cuando juegas no apuestas sólo dinero apuestas tu salud y la de los tuyos,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
6,129926,No quiero apostar el dinero por que mi situación económica es algo complicada pero al final siempre caigo,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
7,121996,El dinero no lo es todo en la vida jugamos para ganar dinero fácil el jugador siente que puede tener una fuente de ingresos fácil y rápida si cuenta con una dosis de concentración y suerte cuando se dipone a jugar esa es una de las mayores trampas que este bajo mundo nos hace creer y ellos sosteniéndonos esa creencia a través de la publicidad bonos promociones son ellos los que se vuelven millonar...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
8,83983,Necesitaba escribir esto para desahogarme preparare un cafe y seguire con mi incansable lucha contra mi mismo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
9,79762,necesitas dinero para apostar cada minuto y sin dinero no juegas cuando no,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
10,259219,Cuando yo he llevado más dinero encima del que realmente necesitaba es por que me estaba planteando el poder necesitarlo para seguir apostando y aunque al igual que tu las primeras veces era para demostrarme que controlaría y así lo hacia al final vuelta al hoyo no te engañes 10 o 1000 para un ludópata estan muy finamente separados el premio que te puede dar una tragaperras normalmente no te saca...,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
11,312211,Y cada vez tenía que apostar más y más dinero para sentir esos estímulos más intensos perdiendo así el raciocinio jugando como un loco sin parar,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
12,481941,Ese mismo incentivo el dinero lo tiene cualquier persona que vaya a jugar no necesariamente ha de ser ludópata o jugador compulsivo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
13,480660,Necesidad de apostar cantidades cada vez más grandes de dinero para sentir excitación,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
14,164116,Nunca usé cantidades exageradas de dinero siempre juego cantidades acorde a mi economía en parte esto es parte de la estrategia y la forma de apostar de un contador de cartas tampoco nunca me he retirado pelado siempre he salido con dinero al menos como para pagar el parking el combustible y la cena antes de regresar a mi casa,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
15,219931,Gracias tragaperras esto va cada vez mejor es mas ya no me acuerdo de las maquinas para nada no necesito la necesidad imperiosa esa que tenia antes de echarle dinero a las maquinas y perder miles y miles de euros ahora tengo mi hucha y todo lo guardo para mis hijos y las vacaciones con mi mujer y lo mejor es que no pierdo ni mi tiempo ni mi dinero ni mi dignidad delante de una odiosa maquina de es...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
16,47138,Necesito el dinero como sea sino la deuda me aumentara y el coche necesito pagar la cuota,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
17,42666,Si ese dinero hubiera sido un día que has apostado y se te ha ido la pinza hasta dejarte tal cantidad probablemente hubiera sido un acontecimiento sin más pero por lo que indicas llevas cinco meses apostando y cuando te has dado cuenta se te han ido 2000 euros,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
18,42411,Yo ahorraba el dinero porque quería comprar un ordenador nuevo de mesa que cuesta unos 900 euros pues mi lado ludópata volvió a aparecer con el dinero que me daban quería ganar algo de dinero en las apuestas para comprar el ordenador antes pero perdí las apuestas y perdí el dinero pues claro quería recuperar el dinero perdido y lo que hago es perder aún más les dije a mis padres que quería comprar...,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
19,378412,Busca la realidad las ganas por las emociones del juego y del dinero te podrian salir muy caras,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
20,87341,Sin apostar mucho dinero un dia gane 100 toda una cantidad ya que yo no tenia ingresos pero maldigo ese dia y todos en los que gané algo de dinero lo unico que hicieron fue arrastrarme un poco mas,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
21,397872,He sacado dinero de la cuenta de mi familia para apostar he inventado que tengo gastos para que me den dinero y casi todo el dinero lo apuesto ya nunca tengo nada para ver a mis amigos para la gasolina para nada es muy deprimente y siempre que estoy asi digo que no debo regresar pero cuando me dan dinero mis padres como hoy voy directo a apostar y lo pierdo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
22,158514,Pero con el transcurso del tiempo ya no era por diversión sino que tenía necesidad de jugar y las apuestas cada vez han ido en aumento,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
23,230066,Cada vez que mentimos son como ventanas que dejamos abiertas para que se metan por allí los llamados de este fantasma que parece estar detrás de cada oportunidad para llevarnos de la mano al vacío,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
