,doc_id,text,manu.couto1k_rels,marcosfp_rels,ezra.mario_rels,DavidGallego_rels,consensus,majority
0,75525,Evidentemente el que no quiere dejar de jugar no lo va a dejar ,False,False,False,False,False,False
1,211974, STOP PLAYING ,False,False,False,False,False,False
2,378632,Conclusión Nunca podré jugar no lo puedo controlar ,True,True,True,True,True,True
3,10760,Consigo dejar de jugar y además me conciencio de que no puedo jugar jamás pero no dejo de pensar en que podría jugar si consiguiera tener un poco de control acabo autoconvenciendome que no podría jugar con control y no juego a pesar de esos pensamientos Y pasan meses y sigo sin jugar pero a menudo divago sobre la posibilidad de jugar exporadicamente y a pesar de eso no juego Estoy rehabilitado ,True,False,True,False,False,False
4,423691,Lo dificil no es dejar de jugar sino aceptar que no podras volver a jugar nunca aceptar que se es ludopata y sus consecuencias ,False,False,True,False,False,False
5,485645,o puede jugar controladamente algun día ,False,False,False,False,False,False
6,471316, El dejar de jugar o reducir cuánto usted jugaba le ha hecho sentir inquieto o irritable durante los últimos 12 meses ,True,False,False,False,False,False
7,186148,No se trata de dejar de jugar y ya está ,False,False,False,False,False,False
8,227629,Segundo tener DESEO de dejar de jugar ,False,False,False,False,False,False
9,200254,La incapacidad del adicto para controlar el impulso de jugar es absoluta ,True,True,False,False,False,False
10,336959,Yo puedo comprender que una persona no pueda dejar de jugar y lo haga sin maldad que lo haga por un impulso irrefrenable ,True,True,False,False,False,False
11,59459,No se puede jugar con control ,False,False,False,False,False,False
12,415043,podemos dejar de jugar hay compañeros que llevan años sin jugar pero jugar no es la enfermedad mucha gente juega y no esta enferma por lo tanto el no jugar no es estar curado estar curado es poder jugar tranquilamente sin que perdamos la nocion de la realidad y yo pregunto cuantos ludopatas conoceis que hayan logrado jugar de folma racional ,False,False,True,False,False,False
13,98627,He intentado dejar de jugar muchas ocasiones y al poco tiempo vuelvo a recaer y cada recaída es mas dura ,True,True,True,True,True,True
14,91987,me siento desmotivado por todo y solo vivo el dia a dia estoy totalmente fuera de control he intentado muchas cosas para dejar de jugar sin exito he practicado yoga ejercicios intentar estar todo el dia ocupado ,True,True,True,True,True,True
15,151636,simplemente paro y vuelvo a jugar de repente sin ningun sufrimiento me da el punto y recaigo ,True,True,True,True,True,True
16,240214,Creo que todos hemos intentado dejar de jugar algunos con mas exitos que otros pero siempre hemos vuelto a jugar siempre con la misma permisa a ver si saco el premio y pago a este o aquel otro que le debo ,True,True,True,True,True,True
17,321110,Sí lo único que tenemos que hacer es dejar de jugar síiiiiiiiiiiii lo único que debemos hacer es controlar el no jugar Por qué los humanos somos tan tozudos ,False,False,True,False,False,False
18,308056,Y por miedo a perderla intenté con un éxito de sólo 3 meses dejar de jugar ,True,True,True,True,True,True
19,109405,Y mas aun quereis dejar de jugar ,False,False,False,False,False,False
20,226917,Sencillamente porque necesitaba jugar ,False,False,False,False,False,False
21,471397,Si reducir la cantidad de juego es muy difícil para usted tal vez usted quiera escoger dejar de jugar completamente ,False,False,False,True,False,False
22,294759,es que no puedo jugar joder no puedo jugar yo no puedo jugar yo no puedo jugar no pudo jugar hostias no puedo jugar por que siempre me pasa igual joder yo no puedo jugar yo no puedo jugar yo no puedo jugar por que no podre jugar como una persona normal ,False,False,False,False,False,False
23,164716,en realidad no quería dejar de jugar simplemente quería controlar el juego ,False,False,True,False,False,False
24,56176, Quiere dejar de jugar o quiere jugar menos con control ,False,False,False,False,False,False
25,416370,puedo dejarlo puedo dejar de jugar puedo dejar de jugar puedo dejar de jugar puedo dejar de jugar puedo dejar de jugar puedo dejar de jugar puedo dejar de jugar puedo y quiero dejar de jugar puedo dejar de jugar puedo dejar de jugar puedo dejar de jugar puedo dejar de jugar me veo sin jugar y me siento orgulloso de mi miismo puedo dejar de jugar puedo dejar de jugar puedo dejar de jugar y estare m...,False,False,True,False,False,False
26,438133,6 Disminuyó tu eficiencia y ambición a causa de tu afición a jugar ,False,False,False,False,False,False
27,241527,e hecho de todo para dejar de jugar y yo pensaba q ya lo habia logrado ,True,False,True,True,False,True
28,294782,es que no puedo jugar joder no puedo jugar yo no puedo jugar yo no puedo jugar no pudo jugar hostias no puedo jugar por que siempre me pasa igual joder yo no puedo jugar yo no puedo jugar yo no puedo jugar por que no podre jugar como una persona normal ,False,False,True,False,False,False
29,196991,Ya veré lo que hago lo que haga falta para seguir sin jugar ,False,False,False,False,False,False
30,85124,imposibilitarno el poder jugar ,False,False,False,False,False,False
